meeting,min_iou,one_to_one_rate,one_to_one,split,merge,tangle,unmatched_a,unmatched_b
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]",0.5,0.9271,89,0,0,0,7,3
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]",0.75,0.9167,88,0,0,0,8,4
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",0.05,0.9663,201,1,2,0,0,0
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",0.1,0.9663,201,1,2,0,2,0
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",0.25,0.9712,202,1,1,0,3,0
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",0.5,0.976,203,0,0,0,5,2
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",0.75,0.9712,202,0,0,0,6,3
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",0.05,1.0,114,0,0,0,0,0
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",0.1,1.0,114,0,0,0,0,0
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",0.25,1.0,114,0,0,0,0,0
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",0.5,0.9912,113,0,0,0,1,1
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",0.75,0.9912,113,0,0,0,1,1
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",0.05,1.0,86,0,0,0,0,0
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",0.1,1.0,86,0,0,0,0,0
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",0.25,1.0,86,0,0,0,0,0
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",0.5,1.0,86,0,0,0,0,0
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",0.75,1.0,86,0,0,0,0,0
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",0.05,0.9922,128,1,0,0,0,0
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",0.1,0.9922,128,1,0,0,0,0
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",0.25,1.0,129,0,0,0,0,1
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",0.5,1.0,129,0,0,0,0,1
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",0.75,1.0,129,0,0,0,0,1
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",0.05,0.989,179,0,0,0,2,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",0.1,0.989,179,0,0,0,2,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",0.25,0.989,179,0,0,0,2,0
