meeting,models_ran,blocks_total,blocks_flagged_by_any,unanimous,majority_agreed,contested,contested_share
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_exclusive",5,94,29,9,20,20,0.69
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_standard",5,166,80,25,45,55,0.688
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",5,205,83,26,48,57,0.687
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",5,0,24,8,22,16,0.667
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",5,208,75,27,47,48,0.64
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_standard",5,195,82,30,51,52,0.634
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_exclusive",5,194,80,30,50,50,0.625
"City Council Meeting - July 8, 2025 [wfwoElJE10U]",5,71,16,7,11,9,0.562
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_exclusive",5,92,44,20,37,24,0.545
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",5,96,45,21,39,24,0.533
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_standard",5,181,81,38,57,43,0.531
"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",5,126,44,21,34,23,0.523
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]_exclusive",5,179,81,39,54,42,0.519
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_exclusive",5,114,41,20,32,21,0.512
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",5,114,41,21,32,20,0.488
"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",5,79,27,14,21,13,0.481
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",5,0,15,10,14,5,0.333
"CSO Control Plan Public Meeting - April 3, 2025 [FfgtaEJ-0l4]",5,1,0,0,0,0,0.0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]_exclusive",5,11,1,1,1,0,0.0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]_standard",5,11,1,1,1,0,0.0
State of the City 2025 [UWLgfqUrmsk],5,1,0,0,0,0,0.0
"Water Transmission Mains Public Meeting - July 9, 2025 [fe0TavdWvEk]",5,5,0,0,0,0,0.0
